# ============================================================
# TITRE : EXÉCUTIF (PRÉSIDENCE ET PRIMATURE)
# ============================================================


# --- Présidents de la République ---
Gaston DOSSOUHOUi;Ministre de l'Agriculture | de l'Élevage et de la Pêche
Jean-Baptiste OUEDRAOGO;Ministre de l'Agriculture
Séraphin ADJIHOU;Ministre de l'Agriculture et du Développement Rural
Kpokpogri Céphas AGbéKÉ BIAOU;Ministre de l'Énergie et de l'Eau
Sylvain A. TOSSOU;Ministre de l'Énergie et de l'Eau
Marie Odile ATTISSO;Ministre de l'Énergie
Saka B. BALLO;Ministre de l'Énergie

# --- Domaine : Santé ---
Benjamin Ignace B. HOUNKPATIN;Ministre de la Santé
Aurélien ZINSOU;Ministre de la Santé
Gisèle AMOUSSOU;Ministre de la Santé
Martin D. DOSSA;Ministre de la Santé
Marie-Laurence HOUNDJONHOU;Ministre de la Santé

# --- Domaine : Éducation et Recherche ---
Éléonore YAYI LADEKAN;Ministre de l'Enseignement Supérieur et de la Recherche Scientifique
André GBEDJAOSSO;Ministre de l'Enseignement Supérieur
Mahougnon KAKPO;Ministre des Enseignements Secondaire | Technique et de la Formation Professionnelle
Rachidi GASKIN;Ministre de l'Enseignement Technique et de la Formation Professionnelle
Christine E. ODOUKAN;Ministre de l'Enseignement Primaire et Secondaire
Miguel TOHOUN;Ministre de l'Éducation Nationale

# --- Domaine : Cadre de Vie; Mines et Infrastructures ---
José DIDIER TONATO;Ministre du Cadre de Vie et du Développement Durable
Théodore MONDLOH;Ministre de l'Environnement
Laurent T. ZOGBADJI;Ministre de l'Environnement et de la Protection de la Nature
Antoine N. DADOHOU;Ministre du Développement Durable
Kamarou FASSASSI;Ministre des Mines | de l'Énergie et de l'Hydraulique
Fidèle AGBEKOSSOU;Ministre des Mines
Jean-Marc DANSOU;Ministre des Mines
Valentin ADJIBODO;Ministre des Travaux Publics
François D. AGOSSOU;Ministre des Travaux Publics
Vincent HOUNDJO;Ministre des Transports et des Travaux Publics
Gilles T. KOUMBA;Ministre de l'Urbanisme

# --- Domaine : Travail; Social et Famille ---
Adidjatou MATHYS;Ministre du Travail et de la Fonction Publique
Léa N’KOUTA;Ministre de la Famille et des Affaires Sociales
Irène DADA;Ministre des Affaires Sociales
Célestine KOUSSAOUI;Ministre de la Famille

# --- Domaine : Numérique; Industrie et Commerce ---
Aurélie ADAM SOULÉ;Ministre du Numérique et de la Digitalisation
Firmin A. DANSOU;Ministre des Postes et Télécommunications
Sévérin ADJOVI;Ministre de la Communication | Ministre de la Culture et du Tourisme
Issa BONI;Ministre de l'Industrie et du Commerce
Sylvain AKPOSSA;Ministre du Commerce
Moussa OKOU;Ministre du Commerce
Modeste KEREKOU;Ministre des Petites et Moyennes Entreprises et de la Promotion de l'Emploi

# --- Domaine : Tourisme; Culture et Sports ---
Jean-Michel ABIMBOLA;Ministre du Tourisme | de la Culture et des Arts
Luc A. GBAGUIDI;Ministre de la Culture
Oswald HOMÉKY;Ministre des Sports | Ministre de la Culture (par intérim)
Rufin A. HOUNKPE;Ministre des Sports

# --- Divers ---
Victoire TOMEGAH-DOGBE;Ministre du Développement à la base
